id,name,degree,peel,diversity,betweenness,pagerank
299,Heward,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.0028685352437096525
300,High Septon (fat one),0.01652892561983471,0.16666666666666666,0.0,0.0,0.002402147766896906
301,High Septon (Tyrions),0.024793388429752067,0.25,0.0,0.0,0.005515841545284583
302,High Sparrow,0.05785123966942149,0.4166666666666667,0.7728588683593669,0.00019623191009851052,0.021688074632594083
303,Hizdahr zo Loraq,0.17355371900826447,0.5833333333333334,0.7530102704974042,0.030857478273171684,0.11652964649621862
304,Hobb,0.08264462809917356,0.5833333333333334,0.4544942920213852,0.0004528428694581012,0.015755114076651866
305,Hobber Redwyne,0.0,0.0,0.0,0.0,0.012075509392393258
306,Hodor,0.08264462809917356,0.5833333333333334,0.6656485962955301,0.0011112035303838307,0.1004570495804528
307,Holly,0.024793388429752067,0.16666666666666666,0.5620791768043331,4.549249056395177e-05,0.01267174802685853
308,Hop Robin,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.0,0.004841810595837553
309,Horas Redwyne,0.008264462809917356,0.0,0.2810395886048937,0.013094565771054514,0.015368012752753504
310,Horton Redfort,0.024793388429752067,0.25,0.0,9.629417339051578e-06,0.013322948622995696
311,Hosteen Frey,0.024793388429752067,0.08333333333333333,0.4215593827046134,0.005041837996556521,0.015047147639075114
312,Hoster Blackwood,0.0,0.0,0.0,0.0,0.0004661619918417842
313,Hoster Tully,0.0743801652892562,0.5,0.6525537159669977,0.0018090031616760434,0.028317727377564977
314,Hot Pie,0.08264462809917356,0.4166666666666667,0.818942917131588,0.01582452640703745,0.06883557277960088
315,Hother Umber,0.024793388429752067,0.25,0.4215593827046134,0.0002238188895022799,0.0070048879222723995
316,Hotho Harlaw,0.024793388429752067,0.16666666666666666,0.4215593827046134,0.0030783737756716364,0.014688006451575988
317,Howland Reed,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.00088096978154706
318,Hugh,0.0,0.0,0.0,0.0,0.00016612605235597532
319,Hugh Hungerford,0.0,0.0,0.0,0.0,0.005905000419542974
320,Hugo Vance,0.0,0.0,0.0,0.0,0.00016471677128746516
321,Hullen,0.04132231404958678,0.4166666666666667,0.5037581929064822,0.00024203670608967476,0.005349828235414089
322,Humfrey Hewett,0.008264462809917356,0.08333333333333333,0.0,0.0,0.004279394707016525
323,Husband,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.0018402110336391728
324,Hyle Hunt,0.049586776859504134,0.4166666666666667,0.467789770924468,0.0014881301555770307,0.020030506425433824
325,Illifer,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.012773131706927147
326,Illyrio Mopatis,0.09090909090909091,0.5833333333333334,0.5774197702372268,0.006259183731468968,0.04244841953778794
327,Ilyn Payne,0.17355371900826447,0.9166666666666666,0.4526840207464815,0.0046601174830556095,0.06940131457174359
328,Imry Florent,0.0,0.0,0.0,0.0,0.0004304789951871079
329,Irri,0.11570247933884298,0.5833333333333334,0.2919778163252576,0.005168009389150364,0.07171535408623723
330,Jacelyn Bywater,0.06611570247933884,0.6666666666666666,0.5786082082310171,7.911737489382918e-05,0.013855854166242122
331,Jack Be Lucky,0.0,0.0,0.0,0.0,0.0010505062940888302
332,Jack Bulwer,0.03305785123966942,0.16666666666666666,0.540137880687222,0.0007975343694725193,0.009920831381126734
333,Jacks,0.0,0.0,0.0,0.0,0.0003605222829462646
334,Jaehaerys I Targaryen,0.0,0.0,0.0,0.0,0.0011620649834720924
335,Jafer Flowers,0.0,0.0,0.0,0.0,0.0009685143215229103
336,Jaime Lannister,0.8264462809917356,1.0,0.9723040138779782,0.5248709423847496,0.5507151354503723
337,Jalabhar Xho,0.03305785123966942,0.25,0.540137880687222,0.004199675181535337,0.007516795177598024
338,Janos Slynt,0.18181818181818182,0.8333333333333334,0.5167868248208831,0.03738661361083267,0.058355059514926026
339,Jaqen Hghar,0.04132231404958678,0.3333333333333333,0.5391170717417778,0.00014626304174451314,0.021637171400399495
340,Jared Frey,0.01652892561983471,0.08333333333333333,0.0,3.159489905299626e-05,0.011471773382643515
341,Jaremy Rykker,0.03305785123966942,0.25,0.6525537159669977,0.013109410689028014,0.01404627622421921
342,Jarl,0.05785123966942149,0.4166666666666667,0.4352726925243988,0.00010774537238830683,0.022973395338318076
343,Jarman Buckwell,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.0,0.004672133155188931
344,Jason Mallister,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.0003388513885255447,0.004254394060861155
345,Jeor Mormont,0.2231404958677686,0.5833333333333334,0.78086149579159,0.08988277199382343,0.16692029498056643
346,Jeyne Farman,0.0,0.0,0.0,0.0,0.003500879659150153
347,Jeyne Heddle,0.0,0.0,0.0,0.0,0.000613713719714796
348,Jeyne Poole,0.09917355371900827,0.6666666666666666,0.720992554627096,0.0089886967296729,0.039757961049895235
349,Jeyne Westerling,0.03305785123966942,0.25,0.540137880687222,0.005284171392802047,0.017161266541189917
350,Jhiqui,0.09090909090909091,0.5833333333333334,0.2925206411361713,0.000373725494564272,0.05811621455943492
351,Jhogo,0.09090909090909091,0.5833333333333334,0.5004393623709769,0.0008609063457443857,0.043881602013220014
352,Joanna Lannister,0.0,0.0,0.0,0.0,0.0003215697542126437
353,Jocelyn Swyft,0.03305785123966942,0.3333333333333333,0.6525537159669977,9.525315529980749e-06,0.008184117949158945
354,Joffrey Baratheon,0.5619834710743802,1.0,0.8550746573705492,0.16530702069887504,0.4849449462941305
355,Jojen Reed,0.0743801652892562,0.5833333333333334,0.4414993083638885,0.001413697362091389,0.06813501916044448
356,Jommo,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.003243516750418831
357,Jon Arryn,0.1322314049586777,0.9166666666666666,0.48789629537240675,0.045865867317455664,0.06466579195409307
358,Jon Connington,0.12396694214876033,0.5,0.724469340068474,0.06605169737479182,0.06734108657768861
359,Jon Fossoway,0.0,0.0,0.0,0.0,0.0008696391617562374
360,Jon Snow,0.9338842975206612,0.9166666666666666,0.9236107045388752,1.0,1.0
361,Jon Umber (Greatjon),0.10743801652892562,0.5833333333333334,0.7836649690258994,0.007083940724013508,0.03886148917659456
362,Jon Umber (Smalljon),0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.0022157844383971256
363,Jonos Bracken,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.0037844270101343937
364,Jonothor Darry,0.008264462809917356,0.08333333333333333,0.0,0.0,0.009591285096066323
365,Jonquil,0.0,0.0,0.0,0.0,0.013207472132241976
366,Jorah Mormont,0.2066115702479339,0.5833333333333334,0.6713140368624879,0.056354358810411974,0.13320169520728592
367,Joramun,0.008264462809917356,0.08333333333333333,0.0,0.0,0.0024272047842950166
368,Jory Cassel,0.1652892561983471,0.9166666666666666,0.681915171399452,0.025390951741420267,0.05126460004617368
369,Joseth,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.0011195892520671972
370,Josmyn Peckledon,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.0074090979183424775
371,Joss,0.0,0.0,0.0,0.0,0.0006355293906553335
372,Joy Hill,0.0,0.0,0.0,0.0,0.00016471677128746516
